date,home_team_fg,away_team_fg,model_home_prob,market_home_prob,edge,recommended_side,kelly_pct,suggested_dollars,home_win,theoretical_pnl,actual_side,actual_dollars,actual_pnl,notes
2026-08-08,SFG,DET,0.5096,0.4765,0.0331,none,0.0,0.0,0.0,0.0,,,,
2026-08-08,WSN,CIN,0.4422,0.4262,0.016,none,0.0,0.0,1.0,0.0,,,,
2026-08-08,SDP,HOU,0.5177,0.5246,-0.0069,none,0.0,0.0,1.0,0.0,,,,
2026-08-08,PIT,NYM,0.5326,0.5359,-0.0033,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,WSN,CIN,0.4863,0.6588,-0.1725,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,PHI,TOR,0.5171,0.6773,-0.1602,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,MIL,MIN,0.6095,0.707,-0.0975,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,PIT,NYM,0.4781,0.5722,-0.0941,NO,0.0658,7.96,0.0,10.65,away,7.5,10.03,
2026-08-09,KCR,CHC,0.4871,0.3986,0.0885,none,0.0,0.0,0.0,0.0,home,6.5,-6.5,
2026-08-09,BOS,OAK,0.5827,0.6651,-0.0824,none,0.0,0.0,0.0,0.0,,,,
2026-08-09,CHW,CLE,0.5284,0.4553,0.0731,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,SFG,DET,0.5398,0.467,0.0728,none,0.0,0.0,0.0,0.0,home,2.5,-2.5,
2026-08-09,STL,COL,0.666,0.6014,0.0646,none,0.0,0.0,1.0,0.0,home,3.5,2.32,
2026-08-09,ARI,LAD,0.4831,0.4243,0.0588,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,SEA,TBR,0.5434,0.5012,0.0422,none,0.0,0.0,0.0,0.0,,,,
2026-08-09,MIA,LAA,0.5351,0.5725,-0.0374,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,TEX,BAL,0.5163,0.5475,-0.0312,none,0.0,0.0,0.0,0.0,,,,
2026-08-09,SDP,HOU,0.5027,0.5284,-0.0257,none,0.0,0.0,1.0,0.0,,,,
2026-08-09,NYY,ATL,0.5729,0.5693,0.0036,none,0.0,0.0,0.0,0.0,,,,
2026-08-10,LAD,KCR,0.6202,0.7319,-0.1117,none,0.0,0.0,1.0,0.0,,,,
2026-08-10,TOR,BOS,0.5028,0.4121,0.0907,YES,0.0617,7.47,1.0,10.66,home,7.75,11.06,
2026-08-10,SFG,HOU,0.4974,0.4161,0.0813,YES,0.0557,6.74,0.0,-6.74,home,7.0,-7.0,
2026-08-10,OAK,TBR,0.4859,0.4079,0.078,none,0.0,0.0,0.0,0.0,,,,
2026-08-10,ATL,NYM,0.5296,0.5744,-0.0448,none,0.0,0.0,0.0,0.0,,,,
2026-08-10,SDP,MIL,0.5125,0.4781,0.0344,none,0.0,0.0,1.0,0.0,,,,
2026-08-10,MIN,BAL,0.5159,0.4837,0.0322,none,0.0,0.0,1.0,0.0,,,,
2026-08-10,STL,PHI,0.508,0.477,0.031,none,0.0,0.0,0.0,0.0,,,,
2026-08-10,ARI,COL,0.6249,0.6452,-0.0203,none,0.0,0.0,1.0,0.0,,,,
2026-08-10,LAA,TEX,0.4897,0.4826,0.0071,none,0.0,0.0,0.0,0.0,,,,
2026-08-11,CHW,CIN,0.471,0.5907,-0.1197,NO,0.075,9.38,,,away,9.5,,
2026-08-11,LAD,KCR,0.6011,0.7036,-0.1025,none,0.0,0.0,,,,,,
2026-08-11,STL,PHI,0.486,0.393,0.093,none,0.0,0.0,,,,,,
2026-08-11,MIA,PIT,0.5759,0.4831,0.0928,YES,0.0718,8.98,,,home,9.0,,
2026-08-11,OAK,TBR,0.481,0.3898,0.0912,none,0.0,0.0,,,,,,
2026-08-11,SFG,HOU,0.4514,0.3681,0.0833,none,0.0,0.0,,,,,,
2026-08-11,LAA,TEX,0.5019,0.4362,0.0657,none,0.0,0.0,,,,,,
2026-08-11,SDP,MIL,0.498,0.439,0.059,none,0.0,0.0,,,,,,
2026-08-11,WSN,CHC,0.4551,0.397,0.0581,none,0.0,0.0,,,,,,
2026-08-11,NYY,SEA,0.4982,0.5476,-0.0494,none,0.0,0.0,,,,,,
2026-08-11,MIN,BAL,0.5478,0.5152,0.0326,none,0.0,0.0,,,,,,
2026-08-11,DET,CLE,0.5692,0.5379,0.0313,none,0.0,0.0,,,,,,
2026-08-11,ARI,COL,0.6382,0.6185,0.0197,none,0.0,0.0,,,,,,
2026-08-11,ATL,NYM,0.5316,0.545,-0.0134,none,0.0,0.0,,,,,,
2026-08-11,TOR,BOS,0.5705,0.5702,0.0003,none,0.0,0.0,,,,,,
